product_title,price,marka,isletim_sistemi,bellek_depolama_kapasitesi,ekran_boyutu,model_adi,puan,degerlendirme_sayisi
Apple iPhone 13 (128 GB) - Gece Yarısı,37149,Apple,iOS 14,128,,iPhone 13 128 GB Gece Yarısı,4.7,2275
Samsung Galaxy A35 5G Akıllı Cep Telefonu 8 GB RAM 256 GB Hafıza. Siyah (Samsung Türkiye Garantili),14834,SAMSUNG,Android 14,8,66,Galaxy A35 256,4.5,100
Samsung Galaxy A24 Akıllı Cep Telefonu 6 GB RAM. 128 GB Depolama. Siyah (Samsung Türkiye Garantili),8599.00,SAMSUNG,Android 130,128,,,4.3,336
Apple iPhone 15 (128 GB) - Mavi,50799.00,Apple,iOs,128,61,iPhone 15,4.6,414
Samsung Galaxy S23 FE 8 GB RAM. 256 GB Hafıza. Grafit (Samsung Türkiye Garantili),24999.00,SAMSUNG,Android 130,8,64,SM-S711BZACTUR,4.4,104
Samsung Galaxy S23 Ultra 256 GB | 8 GB RAM Cep Telefonu. Siyah (Samsung Türkiye Garantili),44799.00,SAMSUNG,Android 13 One UI 50,8,68,,4.5,76
Apple iPhone 15 Pro Max (256 GB) - Beyaz Titanyum,79749.00,Apple,iOs,256,67,iPhone 15 Pro Max,4.6,318
Samsung Galaxy S23 256 GB | 8 GB RAM Cep Telefonu. Phantom Black (Samsung Türkiye Garantili),32889.00,SAMSUNG,Android 13 One UI 50,8,58,,4.7,122
Samsung Galaxy S22 5G 128 GB | 8 GB RAM Cep Telefonu. Beyaz (Samsung Türkiye Garantili),19189.00,SAMSUNG,Android,8,66,,4.5,651
Samsung Galaxy A55 5G Akıllı Cep Telefonu 8 GB RAM 256 GB Hafıza. Siyah (Samsung Türkiye Garantili),18199.00,SAMSUNG,Android 14,8,66,Galaxy A55 256,4.2,59
Samsung Galaxy S24 Plus Akıllı Cep Telefonu 12 GB RAM.256 GB Hafıza.Mor (Samsung Türkiye Garantili),42999.00,SAMSUNG,Android 130,12,67,1,4.5,120
Samsung Galaxy S24 Ultra Akıllı Cep Telefonu 12 GB RAM.512 GB Depolama.Titanyum Siyah (Samsung Türkiye Garantili),64340.64,SAMSUNG,Android 130,12,68,1,4.5,129
Samsung Galaxy S24 Akıllı Cep Telefonu 8 GB RAM.128 GB Hafıza.Siyah (Samsung Türkiye Garantili),36399.00,SAMSUNG,Android 130,8,62,1,4.4,69
Apple iPhone 15 Pro (128 GB) - Natürel Titanyum,67299.00,Apple,iOs,128,61,iPhone 15 Pro,4.6,278
Apple iPhone 12 (64 GB) - Beyaz,26499.00,Apple,iOS 14,64,61,iPhone 12 64 GB Beyaz,4.6,615
Samsung Galaxy A15 Akıllı Cep Telefonu 6 GB RAM.128 GB Depolama.SİYAH (Samsung Türkiye Garantili),8591.52,SAMSUNG,Android 14,6,65,1,4.6,129
Apple iPhone 14 (128 GB) - Gece yarısı,43899.00,Apple,iOs,128,61,iPhone 14,4.7,561
Samsung Galaxy A25 5G Akıllı Cep Telefonu 6 GB RAM.128 GB Depolama.SİYAH (Samsung Türkiye Garantili),10349.00,SAMSUNG,Android 14,6,65,1,4.5,121
Apple iPhone 14 Plus (128 GB) - Gece yarısı,46499.00,Apple,iOs,128,67,iPhone 14 Plus,4.6,361
Samsung Galaxy S23 256 GB | 8 GB RAM Cep Telefonu. Cream (Samsung Türkiye Garantili),32197.46,SAMSUNG,Android 13 One UI 50,8,68,,4.3,74
Samsung Galaxy A05S Akıllı Cep Telefonu 4 GB RAM.128 GB Depolama.GÜMÜŞ (Samsung Türkiye Garantili),6919.00,SAMSUNG,Android 130,4,67,1,4.4,62
Oppo Reno11 F 5G 8 GB RAM 256 GB Cep Telefonu Palmiye Yeşili (OPPO Türkiye Garantili),17149.00,OPPO,Android 130,256,,Oppo Reno 11F 5G,5.0,2
Samsung Galaxy S21 FE 5G 2Nesil Akıllı Cep Telefonu. 8 GB RAM. 128 GB Hafıza. Snapdragon 888 İşlemcili. Yeşil (Samsung Türkiye Garantili),16499.00,SAMSUNG,Android 130,8,64,Galaxy S21 FE 5G,4.3,122
Samsung Galaxy A54 Akıllı Cep Telefonu 5G 8 GB RAM. 256 GB Depolama. Siyah (Samsung Türkiye Garantili),16199.00,SAMSUNG,Android 130,256,64,,4.6,480
Apple iPhone 13 (128 GB) - Gece Yarısı,37149.00,Apple,iOS 14,128,,iPhone 13 128 GB Gece Yarısı,4.7,2275
Samsung Galaxy A35 5G Akıllı Cep Telefonu 8 GB RAM 256 GB Hafıza. Siyah (Samsung Türkiye Garantili),14834.00,SAMSUNG,Android 14,8,66,Galaxy A35 256,4.5,100
Samsung Galaxy A24 Akıllı Cep Telefonu 6 GB RAM. 128 GB Depolama. Siyah (Samsung Türkiye Garantili),8599.00,SAMSUNG,Android 130,128,,,4.3,336
Apple iPhone 15 (128 GB) - Mavi,50799.00,Apple,iOs,128,61,iPhone 15,4.6,414
Samsung Galaxy S23 FE 8 GB RAM. 256 GB Hafıza. Grafit (Samsung Türkiye Garantili),24999.00,SAMSUNG,Android 130,8,64,SM-S711BZACTUR,4.4,104
Samsung Galaxy S23 Ultra 256 GB | 8 GB RAM Cep Telefonu. Siyah (Samsung Türkiye Garantili),44799.00,SAMSUNG,Android 13 One UI 50,8,68,,4.5,76
Apple iPhone 15 Pro Max (256 GB) - Beyaz Titanyum,79749.00,Apple,iOs,256,67,iPhone 15 Pro Max,4.6,318
Samsung Galaxy S23 256 GB | 8 GB RAM Cep Telefonu. Phantom Black (Samsung Türkiye Garantili),32889.00,SAMSUNG,Android 13 One UI 50,8,58,,4.7,122
Samsung Galaxy S22 5G 128 GB | 8 GB RAM Cep Telefonu. Beyaz (Samsung Türkiye Garantili),19189.00,SAMSUNG,Android,8,66,,4.5,651
Samsung Galaxy A55 5G Akıllı Cep Telefonu 8 GB RAM 256 GB Hafıza. Siyah (Samsung Türkiye Garantili),18199.00,SAMSUNG,Android 14,8,66,Galaxy A55 256,4.2,59
Samsung Galaxy S24 Plus Akıllı Cep Telefonu 12 GB RAM.256 GB Hafıza.Mor (Samsung Türkiye Garantili),42999.00,SAMSUNG,Android 130,12,67,1,4.5,120
Samsung Galaxy S24 Ultra Akıllı Cep Telefonu 12 GB RAM.512 GB Depolama.Titanyum Siyah (Samsung Türkiye Garantili),64340.64,SAMSUNG,Android 130,12,68,1,4.5,129
Samsung Galaxy S24 Akıllı Cep Telefonu 8 GB RAM.128 GB Hafıza.Siyah (Samsung Türkiye Garantili),36399.00,SAMSUNG,Android 130,8,62,1,4.4,69
Apple iPhone 15 Pro (128 GB) - Natürel Titanyum,67299.00,Apple,iOs,128,61,iPhone 15 Pro,4.6,278
Apple iPhone 12 (64 GB) - Beyaz,26499.00,Apple,iOS 14,64,61,iPhone 12 64 GB Beyaz,4.6,615
Samsung Galaxy A15 Akıllı Cep Telefonu 6 GB RAM.128 GB Depolama.SİYAH (Samsung Türkiye Garantili),8591.52,SAMSUNG,Android 14,6,65,1,4.6,129
Apple iPhone 14 (128 GB) - Gece yarısı,43899.00,Apple,iOs,128,61,iPhone 14,4.7,561
Samsung Galaxy A25 5G Akıllı Cep Telefonu 6 GB RAM.128 GB Depolama.SİYAH (Samsung Türkiye Garantili),10349.00,SAMSUNG,Android 14,6,65,1,4.5,121
Apple iPhone 14 Plus (128 GB) - Gece yarısı,46499.00,Apple,iOs,128,67,iPhone 14 Plus,4.6,361
Samsung Galaxy S23 256 GB | 8 GB RAM Cep Telefonu. Cream (Samsung Türkiye Garantili),32197.46,SAMSUNG,Android 13 One UI 50,8,68,,4.3,74
Samsung Galaxy A05S Akıllı Cep Telefonu 4 GB RAM.128 GB Depolama.GÜMÜŞ (Samsung Türkiye Garantili),6919.00,SAMSUNG,Android 130,4,67,1,4.4,62
Oppo Reno11 F 5G 8 GB RAM 256 GB Cep Telefonu Palmiye Yeşili (OPPO Türkiye Garantili),17149.00,OPPO,Android 130,256,,Oppo Reno 11F 5G,5.0,2
Samsung Galaxy S21 FE 5G 2Nesil Akıllı Cep Telefonu. 8 GB RAM. 128 GB Hafıza. Snapdragon 888 İşlemcili. Yeşil (Samsung Türkiye Garantili),16499.00,SAMSUNG,Android 130,8,64,Galaxy S21 FE 5G,4.3,122
Samsung Galaxy A54 Akıllı Cep Telefonu 5G 8 GB RAM. 256 GB Depolama. Siyah (Samsung Türkiye Garantili),16199.00,SAMSUNG,Android 130,256,64,,4.6,480
Apple iPhone 13 (128 GB) - Gece Yarısı,37149.00,Apple,iOS 14,128,,iPhone 13 128 GB Gece Yarısı,4.7,2275
Samsung Galaxy A35 5G Akıllı Cep Telefonu 8 GB RAM 256 GB Hafıza. Siyah (Samsung Türkiye Garantili),14834.00,SAMSUNG,Android 14,8,66,Galaxy A35 256,4.5,100
Samsung Galaxy A24 Akıllı Cep Telefonu 6 GB RAM. 128 GB Depolama. Siyah (Samsung Türkiye Garantili),8599.00,SAMSUNG,Android 130,128,,,4.3,336
Apple iPhone 15 (128 GB) - Mavi,50799.00,Apple,iOs,128,61,iPhone 15,4.6,414
Samsung Galaxy S23 FE 8 GB RAM. 256 GB Hafıza. Grafit (Samsung Türkiye Garantili),24999.00,SAMSUNG,Android 130,8,64,SM-S711BZACTUR,4.4,104
Samsung Galaxy S23 Ultra 256 GB | 8 GB RAM Cep Telefonu. Siyah (Samsung Türkiye Garantili),44799.00,SAMSUNG,Android 13 One UI 50,8,68,,4.5,76
Apple iPhone 15 Pro Max (256 GB) - Beyaz Titanyum,79749.00,Apple,iOs,256,67,iPhone 15 Pro Max,4.6,318
Samsung Galaxy S23 256 GB | 8 GB RAM Cep Telefonu. Phantom Black (Samsung Türkiye Garantili),32889.00,SAMSUNG,Android 13 One UI 50,8,58,,4.7,122
Samsung Galaxy S22 5G 128 GB | 8 GB RAM Cep Telefonu. Beyaz (Samsung Türkiye Garantili),19189.00,SAMSUNG,Android,8,66,,4.5,651
Samsung Galaxy A55 5G Akıllı Cep Telefonu 8 GB RAM 256 GB Hafıza. Siyah (Samsung Türkiye Garantili),18199.00,SAMSUNG,Android 14,8,66,Galaxy A55 256,4.2,59
Samsung Galaxy S24 Plus Akıllı Cep Telefonu 12 GB RAM.256 GB Hafıza.Mor (Samsung Türkiye Garantili),42999.00,SAMSUNG,Android 130,12,67,1,4.5,120
Samsung Galaxy S24 Ultra Akıllı Cep Telefonu 12 GB RAM.512 GB Depolama.Titanyum Siyah (Samsung Türkiye Garantili),64340.64,SAMSUNG,Android 130,12,68,1,4.5,129
Samsung Galaxy S24 Akıllı Cep Telefonu 8 GB RAM.128 GB Hafıza.Siyah (Samsung Türkiye Garantili),36399.00,SAMSUNG,Android 130,8,62,1,4.4,69
Apple iPhone 15 Pro (128 GB) - Natürel Titanyum,67299.00,Apple,iOs,128,61,iPhone 15 Pro,4.6,278
Apple iPhone 12 (64 GB) - Beyaz,26499.00,Apple,iOS 14,64,61,iPhone 12 64 GB Beyaz,4.6,615
Samsung Galaxy A15 Akıllı Cep Telefonu 6 GB RAM.128 GB Depolama.SİYAH (Samsung Türkiye Garantili),8591.52,SAMSUNG,Android 14,6,65,1,4.6,129
Apple iPhone 14 (128 GB) - Gece yarısı,43899.00,Apple,iOs,128,61,iPhone 14,4.7,561
Samsung Galaxy A25 5G Akıllı Cep Telefonu 6 GB RAM.128 GB Depolama.SİYAH (Samsung Türkiye Garantili),10349.00,SAMSUNG,Android 14,6,65,1,4.5,121
Apple iPhone 14 Plus (128 GB) - Gece yarısı,46499.00,Apple,iOs,128,67,iPhone 14 Plus,4.6,361
Samsung Galaxy S23 256 GB | 8 GB RAM Cep Telefonu. Cream (Samsung Türkiye Garantili),32197.46,SAMSUNG,Android 13 One UI 50,8,68,,4.3,74
Samsung Galaxy A05S Akıllı Cep Telefonu 4 GB RAM.128 GB Depolama.GÜMÜŞ (Samsung Türkiye Garantili),6919.00,SAMSUNG,Android 130,4,67,1,4.4,62
Oppo Reno11 F 5G 8 GB RAM 256 GB Cep Telefonu Palmiye Yeşili (OPPO Türkiye Garantili),17149.00,OPPO,Android 130,256,,Oppo Reno 11F 5G,5.0,2
Samsung Galaxy S21 FE 5G 2Nesil Akıllı Cep Telefonu. 8 GB RAM. 128 GB Hafıza. Snapdragon 888 İşlemcili. Yeşil (Samsung Türkiye Garantili),16499.00,SAMSUNG,Android 130,8,64,Galaxy S21 FE 5G,4.3,122
Samsung Galaxy A54 Akıllı Cep Telefonu 5G 8 GB RAM. 256 GB Depolama. Siyah (Samsung Türkiye Garantili),16199.00,SAMSUNG,Android 130,256,64,,4.6,480
,,,,,,,,
Samsung Galaxy A35 5G Akıllı Cep Telefonu 8 GB RAM 256 GB Hafıza. Siyah (Samsung Türkiye Garantili),14834.00,SAMSUNG,Android 14,8,66,Galaxy A35 256,4.5,100
Samsung Galaxy A24 Akıllı Cep Telefonu 6 GB RAM. 128 GB Depolama. Siyah (Samsung Türkiye Garantili),8599.00,SAMSUNG,Android 130,128,,,4.3,336
Apple iPhone 15 (128 GB) - Mavi,50799.00,Apple,iOs,128,61,iPhone 15,4.6,414
Samsung Galaxy S23 FE 8 GB RAM. 256 GB Hafıza. Grafit (Samsung Türkiye Garantili),24999.00,SAMSUNG,Android 130,8,64,SM-S711BZACTUR,4.4,104
Samsung Galaxy S23 Ultra 256 GB | 8 GB RAM Cep Telefonu. Siyah (Samsung Türkiye Garantili),44799.00,SAMSUNG,Android 13 One UI 50,8,68,,4.5,76
Apple iPhone 15 Pro Max (256 GB) - Beyaz Titanyum,79749.00,Apple,iOs,256,67,iPhone 15 Pro Max,4.6,318
Samsung Galaxy S23 256 GB | 8 GB RAM Cep Telefonu. Phantom Black (Samsung Türkiye Garantili),32889.00,SAMSUNG,Android 13 One UI 50,8,58,,4.7,122
,,,,,,,,
Samsung Galaxy A55 5G Akıllı Cep Telefonu 8 GB RAM 256 GB Hafıza. Siyah (Samsung Türkiye Garantili),18199.00,SAMSUNG,Android 14,8,66,Galaxy A55 256,4.2,59
Samsung Galaxy S24 Plus Akıllı Cep Telefonu 12 GB RAM.256 GB Hafıza.Mor (Samsung Türkiye Garantili),42999.00,SAMSUNG,Android 130,12,67,1,4.5,120
,,,,,,,,
,,,,,,,,
Apple iPhone 15 Pro (128 GB) - Natürel Titanyum,67299.00,Apple,iOs,128,61,iPhone 15 Pro,4.6,278
Apple iPhone 12 (64 GB) - Beyaz,26499.00,Apple,iOS 14,64,61,iPhone 12 64 GB Beyaz,4.6,615
Samsung Galaxy A15 Akıllı Cep Telefonu 6 GB RAM.128 GB Depolama.SİYAH (Samsung Türkiye Garantili),8591.52,SAMSUNG,Android 14,6,65,1,4.6,129
,,,,,,,,
Samsung Galaxy A25 5G Akıllı Cep Telefonu 6 GB RAM.128 GB Depolama.SİYAH (Samsung Türkiye Garantili),10349.00,SAMSUNG,Android 14,6,65,1,4.5,121
,,,,,,,,
Samsung Galaxy S23 256 GB | 8 GB RAM Cep Telefonu. Cream (Samsung Türkiye Garantili),32197.46,SAMSUNG,Android 13 One UI 50,8,68,,4.3,74
,,,,,,,,
,,,,,,,,
Samsung Galaxy S21 FE 5G 2Nesil Akıllı Cep Telefonu. 8 GB RAM. 128 GB Hafıza. Snapdragon 888 İşlemcili. Yeşil (Samsung Türkiye Garantili),16499.00,SAMSUNG,Android 130,8,64,Galaxy S21 FE 5G,4.3,122
,,,,,,,,
Apple iPhone 13 (128 GB) - Gece Yarısı,37149.00,Apple,iOS 14,128,,iPhone 13 128 GB Gece Yarısı,4.7,2275
,,,,,,,,
Samsung Galaxy A24 Akıllı Cep Telefonu 6 GB RAM. 128 GB Depolama. Siyah (Samsung Türkiye Garantili),8599.00,SAMSUNG,Android 130,128,,,4.3,336
Apple iPhone 15 (128 GB) - Mavi,50799.00,Apple,iOs,128,61,iPhone 15,4.6,414
,,,,,,,,
,,,,,,,,
Apple iPhone 15 Pro Max (256 GB) - Beyaz Titanyum,79749.00,Apple,iOs,256,67,iPhone 15 Pro Max,4.6,318
Samsung Galaxy S23 256 GB | 8 GB RAM Cep Telefonu. Phantom Black (Samsung Türkiye Garantili),32889.00,SAMSUNG,Android 13 One UI 50,8,58,,4.7,122
,,,,,,,,
Samsung Galaxy A55 5G Akıllı Cep Telefonu 8 GB RAM 256 GB Hafıza. Siyah (Samsung Türkiye Garantili),18199.00,SAMSUNG,Android 14,8,66,Galaxy A55 256,4.2,59
Samsung Galaxy S24 Plus Akıllı Cep Telefonu 12 GB RAM.256 GB Hafıza.Mor (Samsung Türkiye Garantili),42999.00,SAMSUNG,Android 130,12,67,1,4.5,120
Samsung Galaxy S24 Ultra Akıllı Cep Telefonu 12 GB RAM.512 GB Depolama.Titanyum Siyah (Samsung Türkiye Garantili),64340.64,SAMSUNG,Android 130,12,68,1,4.5,129
Samsung Galaxy S24 Akıllı Cep Telefonu 8 GB RAM.128 GB Hafıza.Siyah (Samsung Türkiye Garantili),36399.00,SAMSUNG,Android 130,8,62,1,4.4,69
Apple iPhone 15 Pro (128 GB) - Natürel Titanyum,67299.00,Apple,iOs,128,61,iPhone 15 Pro,4.6,278
Apple iPhone 12 (64 GB) - Beyaz,26499.00,Apple,iOS 14,64,61,iPhone 12 64 GB Beyaz,4.6,615
Samsung Galaxy A15 Akıllı Cep Telefonu 6 GB RAM.128 GB Depolama.SİYAH (Samsung Türkiye Garantili),8591.52,SAMSUNG,Android 14,6,65,1,4.6,129
Apple iPhone 14 (128 GB) - Gece yarısı,43899.00,Apple,iOs,128,61,iPhone 14,4.7,561
,,,,,,,,
Apple iPhone 14 Plus (128 GB) - Gece yarısı,46499.00,Apple,iOs,128,67,iPhone 14 Plus,4.6,361
,,,,,,,,
Samsung Galaxy A05S Akıllı Cep Telefonu 4 GB RAM.128 GB Depolama.GÜMÜŞ (Samsung Türkiye Garantili),6919.00,SAMSUNG,Android 130,4,67,1,4.4,62
Oppo Reno11 F 5G 8 GB RAM 256 GB Cep Telefonu Palmiye Yeşili (OPPO Türkiye Garantili),17149.00,OPPO,Android 130,256,,Oppo Reno 11F 5G,5.0,2
Samsung Galaxy S21 FE 5G 2Nesil Akıllı Cep Telefonu. 8 GB RAM. 128 GB Hafıza. Snapdragon 888 İşlemcili. Yeşil (Samsung Türkiye Garantili),16499.00,SAMSUNG,Android 130,8,64,Galaxy S21 FE 5G,4.3,122
Samsung Galaxy A54 Akıllı Cep Telefonu 5G 8 GB RAM. 256 GB Depolama. Siyah (Samsung Türkiye Garantili),16199.00,SAMSUNG,Android 130,256,64,,4.6,480